Name,Item ID,CMS ID
Kh. Jamrurah,6875c00f58b028993aaf0d28,6875c00f58b028993aaf0d28
Kh. Jubara,6875c029539f20466a3bc722,6875c029539f20466a3bc722
Kh. Kafr Sheiyan,6875c023e5d79caa2f64500c,6875c023e5d79caa2f64500c
Kh. Ma'in,6875c0177a39e79ed540ca83,6875c0177a39e79ed540ca83
Kh. Marah a-Raha,6875bffdeaaf13e443d8b321,6875bffdeaaf13e443d8b321
Kh. Mas'ud,6875bffdaa9fd24b0006783f,6875bffdaa9fd24b0006783f
Kh. Mushrif,6875c0251323e724b8845a25,6875c0251323e724b8845a25
Kh. Sab'ein,6875c02387e51b141bdb5b2f,6875c02387e51b141bdb5b2f
Kh. Salama,6875c017aa9fd24b00067fd9,6875c017aa9fd24b00067fd9
Kh. Samra,6875c02901fcc3dbdd3570a1,6875c02901fcc3dbdd3570a1
Kh. Sarra,6875bfff296a0ebcd388d56d,6875bfff296a0ebcd388d56d
Kh. Sarura,6875c0268a7e1f4d0de1c979,6875c0268a7e1f4d0de1c979
Kh. Shuweika,6875c027a7c637eaa2e7370c,6875c027a7c637eaa2e7370c
Kh. Sir,6875c005bedca23a5b2b1eea,6875c005bedca23a5b2b1eea
Kh. Suruj,6875c0237ed36ffe8d26924f,6875c0237ed36ffe8d26924f
Kh. Tall al-Ghar,6875bfff3baae76b594fc743,6875bfff3baae76b594fc743
Kh. Tall al-Himma,6875c029c66a912b8283aecf,6875c029c66a912b8283aecf
Kh. Tana,6875bfff6be396c7be3b01ce,6875bfff6be396c7be3b01ce
Kh. Tawil a-Sheikh,6875c0266bf8da1fa891d137,6875c0266bf8da1fa891d137
Kh. Tuqu',6875c01104a507fc7b448fd9,6875c01104a507fc7b448fd9
Kh. Um Nir,68419b909de4ef897e3bade6,68419b909de4ef897e3bade6
Kh. Wadih,6875c0259b1cc93bc4367b29,6875c0259b1cc93bc4367b29
