Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Longitude,Lattitude,Region,Sub-Region,Territory,Info,Name en,Name fr,Name es,Name he,Name ar,Date estab,Hectare,CMS ID,Area A,Area B,Area C
Ganne Tal,ganne-tal,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d053ca23677052259a,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.30142,31.37366,khan-younis,,Gaza,,,Ganne Tal,Ganei Tal,גני טל,جاني طال,1979,26,687585d053ca23677052259a,false,false,false
Gilad Farm,gilad-farm,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d2c2b20897431808e9,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.18107,32.19974,nablus,,West Bank,,,Ferme Gilad,Granja Gilad,חוות גלעד,حفات جلعاد,2002,47,687585d2c2b20897431808e9,false,true,true
Gilgal,gilgal,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585ddec2f534409f663f8,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.44732,32.00025,jericho,,West Bank,,,Gilgal,Gilgal,גלגל,جلجال,1970,36,687585ddec2f534409f663f8,false,false,true
Gilo,gilo,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585ce16017ac3f3f465f2,false,false,Mon Jul 14 2025 22:33:50 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:56:04 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:58:10 GMT+0000 (Coordinated Universal Time),,35.18978,31.73362,east-jerusalem,,West Bank,,,Gilo,Giló,גילה,جيلو,1971,243,687585ce16017ac3f3f465f2,false,false,false
Gittit,gittit,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d96b3523723690f122,false,false,Mon Jul 14 2025 22:34:01 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.39599,32.1016,jericho,,West Bank,,,Gittit,Gittit,גיתית,جيتيت,1973,11,687585d96b3523723690f122,false,false,true
Giv'at Avichay,givat-avichay,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d586088a73967305b7,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.12924,31.54267,hebron,,West Bank,,,Giv'at Avichay,Givat Avihay,גבעת אביחי,جفعات أفيحاي,2001,3,687585d586088a73967305b7,false,false,false
Giv'at Hahish,givat-hahish,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d4168d3d18e567680b,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.13311,31.65538,bethlehem,,West Bank,,,Giv'at Hahish,Givat Hahish,"גבעת החי""ש",جفعات هحايش,1998,6,687585d4168d3d18e567680b,false,false,true
Giv'at Hamatos,givat-hamatos,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585ceae6f83bfcf9a71cf,false,false,Mon Jul 14 2025 22:33:50 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:56:20 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:58:10 GMT+0000 (Coordinated Universal Time),,35.2079,31.73907,east-jerusalem,,West Bank,,,Giv'at Hamatos,Givat Hamatos,גבעת המטוס,جفعات همتوس,1991,13,687585ceae6f83bfcf9a71cf,false,false,false
Giv'at Harel,givat-harel,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d2f315fb9f7f0cc675,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.27453,32.05869,ramallah,,West Bank,,,Giv'at Harel,Givat Harel,גבעת הראל,جفعات هرئيل,1998,33,687585d2f315fb9f7f0cc675,false,false,true
Giv'at Ze'ev,givat-zeev,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d96a4a33e3d4364f7e,false,false,Mon Jul 14 2025 22:34:01 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.16834,31.86139,jerusalem,,West Bank,,,Giv'at Ze'ev,Givat Zeev,גבעת זאב,جفعات زئيف,1983,108,687585d96a4a33e3d4364f7e,false,false,true
